coin,metric,2024-11-20,2024-11-21,2024-11-22,2024-11-23,2024-11-24,2024-11-25,2024-11-26,2024-11-27,2024-11-28,2024-11-29,2024-11-30,2024-12-01,2024-12-02,2024-12-03,2024-12-04,2024-12-05,2024-12-06,2024-12-07,2024-12-08,2024-12-09,2024-12-10,2024-12-11,2024-12-12,2024-12-13,2024-12-14,2024-12-15,2024-12-16,2024-12-17,2024-12-18,2024-12-19,2024-12-20,2024-12-21,2024-12-22,2024-12-23,2024-12-24,2024-12-25,2024-12-26,2024-12-27,2024-12-28,2024-12-29,2024-12-30,2024-12-31,2025-01-01,2025-01-02,2025-01-03,2025-01-04,2025-01-05,2025-01-06,2025-01-07,2025-01-08
bitcoin-cash,total_volumes,463946021.10180527,429858505.7685319,2223853906.823667,829245757.9125061,1862153249.3839297,944296292.4211488,1022777272.1334976,700331300.5863029,801374292.3501946,700677190.7175294,442420692.58066434,818058563.2753396,650459389.2299626,1673642383.818963,1802172461.8961077,1511044093.382883,1963429743.1048067,1072429116.585923,621294849.2907557,645149389.0233114,1255260273.6116025,1050361713.3497498,644625883.1622174,515014828.68183094,399672218.9833185,366514732.9794408,374719752.61498684,519123475.9088489,404425613.27227217,623664992.1295676,683609066.9511584,652834162.1471369,390950020.325008,301236893.77737236,357953402.274636,272324090.4623059,219251450.72502357,227781368.46014002,249677293.900029,146742460.76108503,160540530.30819106,278620814.4668035,205280682.984419,234755587.20499057,260331733.98410678,244243531.83635733,293468799.4103095,194482079.98298734,287609823.204666,325261132.2935017
bitget-token,market_caps,1893131664.9405994,1882031775.574707,2013297599.7497694,2098015660.3595555,2185958543.6668386,2233554002.8296065,2236325161.439249,2183237144.4057827,2270506450.420751,2275049638.8711176,2284225730.9501066,2259778897.6528187,2252235016.77796,2218142548.980223,2263052630.184532,2511013781.339142,2686231396.8099737,3322162612.2672257,3814010762.1719546,3726804542.9277377,3512629257.8327446,3866355158.8746533,4428946915.070144,4398209366.668077,4531099776.587311,4340214130.545909,4329822332.646074,4816378252.398245,5451389234.734634,5901264306.862085,6323685854.456166,6048036765.0423565,5808729186.792798,5789445334.865094,6011688352.535222,6886879292.773744,8134063593.853731,10275232267.270409,11421751389.551908,10487280094.31955,8820217170.769464,8939330746.425598,8347130975.083854,8258413152.590369,7579345487.620109,7509907544.7936735,7216240626.083302,7213153844.332634,7439699110.114663,7743132663.505697
bitget-token,prices,1.3522,1.3421,1.4392,1.5007,1.5567,1.5948,1.5974,1.5595,1.6215,1.6261,1.6321,1.6145,1.6104,1.5843,1.6045,1.7933,1.9366,2.3741,2.7244,2.6651,2.5108,2.764,3.1615,3.1416,3.2384,3.098,3.0965,3.433,3.8905,4.204,4.5175,4.32,4.1522,4.1277,4.2663,4.916,5.81,7.3346,8.1599,7.4971,6.3105,6.3903,5.9608,5.9064,6.3112,6.2581,6.011,6.011,6.2004,6.427199999999999
bitget-token,total_volumes,84699304.13256206,46694171.947040245,61020996.33306048,67186939.74884157,56145719.430869445,69599790.71505585,120245272.89705655,122667013.9047237,102557543.80930737,82793277.11441801,70999222.53093468,70943186.93043546,80019060.11859474,89648341.73183565,48237117.47279485,79365438.49281815,135021435.41997272,286943459.8545154,314858601.55911416,191245618.06849125,238526615.2023038,317028729.1164405,423856959.37684244,335742860.8468809,149282160.88224238,190936473.69505093,159858206.02575517,271121847.45006037,240796484.59948623,431934536.41615415,577401409.4885842,456727726.77896625,292119512.8424817,198978654.36942065,143060197.4971079,332425776.8890062,684990225.2308456,15183775.849795416,12592120.756176217,8548459.563816203,11088360.549714418,8113134.609754641,8099317.624393165,510860895.97648495,491562444.9107119,324800776.55292445,227788555.60191435,113838892.91788185,309147175.04566324,474087578.7370328
bittensor,market_caps,3578935316.8844633,3560123855.04402,3847548650.028837,3776493042.005367,3843119704.396643,3888022628.607069,4032666708.754856,4141905353.467888,4148286715.4655776,4401526992.152745,4558412806.909638,4992559133.726144,4720474526.504115,4479080724.048826,4587901583.364242,4811610642.617221,5035437555.712551,5206536236.697888,5173075624.09494,5251065561.102608,4425942565.3141575,4260769444.928832,4439642438.990512,4240659036.0254946,4253807198.6040897,4133898708.193782,4237864930.096852,4006520468.870642,3813694147.0507774,3719578298.7645254,3335178104.9107156,3491658036.3720737,3356326251.4526505,3325127131.3666816,3575112278.9000406,3704719319.730333,3690299214.89947,3479086121.884608,3436347720.48982,3476313175.969473,3389078985.1976376,3324222664.4083834,3254199023.09519,3600676376.227015,4223697564.632063,4459162730.789831,4552328796.453604,4586766766.575731,4518834584.296197,3912815777.4985094
bittensor,prices,485.1902,481.8618,521.3583,511.511,521.6998,526.1656,546.4653,559.6048,562.2908,596.2991,617.5021,676.9256,638.4275,606.8395,622.1087,652.671,682.1821,705.3949,699.9373,712.9705,600.611,576.866,601.1231,576.2505,576.4199,560.1054,573.869,542.1477,516.597,501.6707,450.7566,473.3693,455.4219,449.52,484.0641,503.1026,499.8797,471.3841,465.6028,470.8244,459.1611,450.5637,440.8896,487.7025,521.9495,550.1757,560.2188,564.1275,556.4658,479.2513
bittensor,total_volumes,231318449.31637597,237533923.64945266,334864741.86381084,202620037.9889062,318675067.36106193,251322926.76512265,360034664.75464463,426732564.52001923,307821013.88281214,313463586.807403,333513651.1767096,343174560.8648017,240110237.94162044,420187782.0542518,418749135.9507259,495393621.82469386,530983820.6153061,504250498.1846986,224893751.483863,234691752.78432724,553093704.435029,509333895.3687314,263345612.616903,285629368.5173728,214733330.44114006,202604091.99847138,168143770.42416373,238025503.98192787,264977084.23449144,300710500.06768143,417905051.6966671,402274528.47574323,199671073.49095923,155736288.35870194,184434958.907053,135833517.9397195,143305845.92879245,114662538.49940068,132170117.56918027,85694082.02705747,86297016.68124828,137187291.28594887,99783768.71346627,94823375.07614125,240398424.8725154,180187664.48682228,129696333.17718698,87316289.76383239,171252189.7324014,153629982.50427943
cardano,market_caps,26431575432.630917,28772128081.481377,29263235932.69351,35938316596.75111,37995867804.11106,36730492655.154526,33855152913.243694,34323258762.167927,36252927449.637505,36943407363.53188,38639286783.73906,38662755540.67341,41005304249.43712,42929048816.169815,42969786460.67669,42349997240.399826,41761272812.61363,44189030694.178734,43485669123.33586,42885476562.37067,35975470613.31738,36406284690.12914,38964602897.82832,40206128332.3021,39991134369.1031,37963590469.38818,39691680715.70685,38745135408.73237,37602480013.476326,34737600112.46145,31782678364.00243,34009403993.442554,32347333228.842308,31642202715.503292,33052194008.211617,33537004610.047367,32863705684.99487,30811560138.83137,31327645362.07626,31824025510.76384,30776366650.470432,30753991424.009167,30266612410.917095,32744580750.79023,34480834161.062225,39147825603.58425,38453818208.48556,39231354061.090355,39227241393.95025,34605083045.27649
cardano,prices,0.7389,0.803,0.8182,1.0044,1.0632,1.0259,0.9463,0.9587,1.0133,1.0324,1.0796,1.0794,1.1479,1.1995,1.201,1.1842,1.1663,1.233,1.2144,1.198,1.0077,1.0166,1.0879,1.1231,1.1167,1.0601,1.1059,1.0805,1.0495,0.969,0.8856,0.9506,0.9047,0.8828,0.9229,0.9369,0.9168,0.8593,0.8742,0.8876,0.8591,0.8591,0.8443,0.9148,0.9618,1.0905,1.0719,1.094,1.0941,0.9655
cardano,total_volumes,1635269471.5485222,4230382202.154202,2791303410.437808,6892507799.22072,7258065363.156293,4065963806.818005,3673630635.8309784,2825247053.1150365,2963844108.950685,1748421855.8847175,2546200789.234483,2235486757.4695177,2617149103.843603,5868579244.534972,5490023453.359384,3185937360.6157274,3576835053.2920136,2349556943.0838575,1576905611.3322842,1847543253.3471847,3803654545.310235,3773323186.6575675,2481141444.010295,2483873378.592398,1480554949.0517018,1210677610.7550113,1088430664.0015788,1725755863.7953467,1578222620.7391448,2116818094.5756152,2484376764.6355844,2967142400.5806985,1619520801.5214942,1251460951.2097306,1373635719.5136724,1049748351.4339589,695113060.3027651,860400720.7111105,949972681.1647332,588899480.7586905,705652916.2069426,1026988638.0611954,759319278.391332,995785773.081401,1274967600.399281,2671600901.30405,1280366764.8039057,1363420254.9543183,1364197241.7503395,2014847019.1122258
chainlink,market_caps,9189286505.314814,8954211060.181831,9356804149.10354,10334243067.07045,10882378412.279865,11284491625.86596,10899750604.03355,10838802182.818647,11701704585.664492,11257875988.793648,11472218037.581419,11953957076.392618,11850508302.381966,15666510814.614609,15242498124.681112,15081218840.20818,14575763743.496677,16163137265.246288,15547158606.887785,16443234054.634686,13989207026.231792,13941404003.564228,15060569720.750916,18177829803.73702,18061927548.206753,18207565936.659256,18488910013.722122,18089046817.902836,17499506784.007877,15618722681.777357,14394603952.794622,14731909467.021257,13921994410.719688,13905257741.73419,15417052941.207403,16066210725.143015,15428013200.574905,14302096861.394842,13572024972.829205,13869294979.45249,13226113439.223787,12979228211.474392,12625674205.005644,13625851211.136133,13907593319.902546,14745258875.845861,14919570989.354597,14936305139.131508,15028810982.025658,13192002715.123598
chainlink,prices,14.6592,14.2887,14.9296,16.4975,17.3847,17.9994,17.4054,17.301,18.6884,17.9663,18.3149,19.0665,18.9051,24.9905,24.2787,24.0534,23.2654,25.8161,24.802,26.2643,22.3132,22.2259,24.028,29.0011,28.8309,29.047,29.432,28.8359,27.8395,24.9162,22.9457,23.3428,22.0987,22.0308,24.4464,25.5035,24.4462,22.6491,21.515,21.9646,20.9568,20.5736,19.9991,21.6215,22.0367,23.3621,23.6348,23.6486,23.8182,20.887549999999997
chainlink,total_volumes,831659823.0335064,992727690.0587865,1091712743.7407756,1799175581.7735133,2147403123.4926438,1720803013.8446205,1938106881.6318405,1328097228.0429657,1404036275.2537165,971343481.7218504,801665104.5143837,1086027249.8046203,926485236.1068816,12159425922.850971,4922110743.860059,3485126157.1845365,2440261734.8473496,2158426494.0245585,1723190438.5418847,2360743074.414925,4222253989.2893543,3348805004.349779,1918874667.412956,5312187772.976083,4011795141.233795,3268686212.3531666,2149766153.5531173,3277968310.661171,2051170800.6706471,2553461332.6238256,3004916082.570303,2654146182.687879,1763987563.7049081,1024410364.6555816,1918399048.720684,1767674535.7707214,1050992936.6918062,958462476.4008456,1076934792.5094852,930406155.1708531,584071653.5190102,928891445.3048912,780966762.8759739,859292330.7261944,1155855199.2208543,1222456853.6048684,805525215.4781044,668132489.2671168,1269876071.8087366,1129252605.7953775
